"Command","Path","Target"
"MERGE","/pages/ap-csa","/pages/ap-csa-course"
"MERGE","/pages/ap-csp","/pages/ap-csp-course"
"MERGE","/pages/practice-exams","/collections/practice-exams"
"MERGE","/pages/flashcards","/collections/flashcards"
"MERGE","/pages/bundles","/collections/bundles"
"MERGE","/pages/quick-reference","/collections/quick-reference"
