"Handle","Command","Title"
"ap-csa-score-calculator","MERGE","AP CSA Score Calculator 2027 | Predict Your Exam Score"
"ap-csp-score-calculator","MERGE","AP CSP Score Calculator 2027 | Predict Your Exam Score"
"ap-csa-exam-format","MERGE","AP Computer Science A Exam Format 2027 - Sections, Timing & Scoring Guide"
"ap-csa-reference-sheet","MERGE","AP CSA Reference Sheet - Complete Java Quick Reference Guide"
