"Handle","Command","Metafield: seo.hidden [number_integer]"
"admin-tracker","MERGE","1"
"ap-csa-code-editor-test","MERGE","1"
"java-editor-test","MERGE","1"
"cyber-dashboard","MERGE","1"
"join","MERGE","1"
"my-progress","MERGE","1"
"ap-csp-teacher-resources","MERGE","1"
